Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Cluster
Role-Playing,3.01,2.4700000000000006,3.28,0.96,9.72,1
Shooter,4.09,3.7300000000000004,0.38,1.38,9.59,1
Misc,5.84,2.8900000000000006,0.009999999999999995,0.78,9.52,2
Racing,3.88,3.42,1.69,0.5,9.49,2
Shooter,5.91,2.38,0.13,0.9,9.32,1
Platform,4.36,1.71,3.0,0.23,9.3,2
Misc,5.58,2.83,0.020000000000000004,0.77,9.2,2
Simulation,2.01,2.3200000000000003,4.36,0.41,9.09,1
Misc,4.46,1.88,1.98,0.7,9.02,2
Role-Playing,5.03,2.8600000000000003,0.1,0.85,8.84,1
Racing,3.54,1.24,3.81,0.18,8.76,2
Sports,1.1099999999999999,6.06,0.06,1.26,8.49,1
Misc,1.79,3.5300000000000002,2.49,0.68,8.49,2
Shooter,6.82,1.53,0.05,0.08,8.49,1
Misc,3.8099999999999996,2.3,1.5799999999999998,0.73,8.419999999999998,2
Role-Playing,2.91,1.86,3.14,0.42999999999999994,8.33,1
Action,1.06,5.05,0.13,2.01,8.24,0
Simulation,0.98,6.42,0.0,0.71,8.11,1
Shooter,5.8,2.01,0.13,0.15,8.09,1
Sports,2.58,3.9000000000000004,0.66,0.9100000000000001,8.06,1
Role-Playing,2.91,2.07,2.7300000000000004,0.33,8.05,1
Role-Playing,2.2799999999999994,1.72,3.63,0.23,7.86,1
Role-Playing,2.8199999999999994,1.78,2.69,0.55,7.84,1
Puzzle,7.28,0.45,0.0,0.08,7.8100000000000005,2
Action,2.8999999999999995,2.83,0.24,1.7500000000000002,7.72,0
Platform,3.66,2.42,0.98,0.64,7.690000000000001,2
Shooter,2.9299999999999997,3.29,0.22,1.23,7.67,1
Shooter,2.8,3.3,0.14,1.37,7.6000000000000005,1
Action,4.1,1.89,1.4500000000000002,0.15999999999999998,7.6000000000000005,0
Platform,3.7799999999999994,2.17,1.31,0.31,7.580000000000001,2
Platform,5.39,1.18,0.7,0.19,7.46,2
Fighting,3.24,1.35,2.42,0.42999999999999994,7.449999999999999,2
Shooter,4.79,1.9,0.0,0.69,7.370000000000001,1
Shooter,4.46,2.13,0.06,0.69,7.34,1
Action,3.83,2.1900000000000004,0.6,0.7,7.31,0
Shooter,4.52,2.09,0.009999999999999995,0.67,7.299999999999999,1
Misc,3.51,3.0300000000000002,0.0,0.73,7.27,2
Shooter,2.8499999999999996,2.9300000000000006,0.35,1.1,7.23,1
Racing,3.2699999999999996,2.83,0.08,1.02,7.200000000000001,2
Fighting,3.2699999999999996,2.2200000000000006,1.4,0.29,7.160000000000001,0
Platform,3.6800000000000006,1.75,1.42,0.28,7.13,2
Fighting,4.41,1.04,1.3900000000000001,0.22,7.07,0
Racing,3.13,2.07,1.27,0.49,6.96,2
Role-Playing,2.4699999999999998,3.1500000000000004,0.24,1.1,6.96,1
Racing,4.12,1.77,0.87,0.19,6.950000000000001,2
Misc,4.14,2.21,0.0,0.56,6.91,2
Sports,0.78,4.32,0.07,1.73,6.9,1
Racing,2.71,3.0200000000000005,0.08,1.09,6.9,2
Shooter,2.9299999999999997,2.75,0.17,0.99,6.83,1
Action,2.7699999999999996,2.8,0.19,1.06,6.83,0
Platform,3.2299999999999995,2.3500000000000005,0.94,0.3,6.819999999999999,2
Sports,3.5,2.6400000000000006,0.0,0.67,6.81,1
Shooter,4.15,1.92,0.06,0.64,6.76,1
Action,3.2699999999999996,2.25,0.21,0.9999999999999999,6.73,0
Shooter,3.0999999999999996,2.3,0.28,1.04,6.72,1
Sports,0.84,4.32,0.11,1.42,6.69,1
Misc,1.67,2.7800000000000002,1.6,0.62,6.67,2
Action,2.79,2.6100000000000003,0.17,1.03,6.6,0
Sports,0.79,4.29,0.05,1.47,6.59,1
Platform,3.25,1.84,1.03,0.47,6.59,2
Role-Playing,2.55,2.71,0.25,1.05,6.56,1
Action,3.740000000000001,0.93,1.69,0.14,6.51,0
Action,2.6399999999999997,2.5600000000000005,0.16000000000000003,1.14,6.5,0
Shooter,4.98,1.3,0.08,0.07,6.43,1
Role-Playing,2.5699999999999994,1.58,2.06,0.21,6.41,1
Role-Playing,3.6399999999999997,1.2,1.49,0.07,6.4,1
Role-Playing,2.55,1.56,1.29,0.99,6.39,1
Shooter,4.34,1.35,0.06,0.61,6.36,1
Action,3.7,1.97,0.09,0.57,6.34,0
Platform,4.010000000000001,1.26,0.87,0.17,6.31,2
Fighting,2.4699999999999998,0.83,2.87,0.12,6.3,0
Role-Playing,0.07,6.21,0.0,6.938893903907228e-18,6.28,1
Action,3.1099999999999994,2.8,0.020000000000000004,0.33,6.27,0
Sports,3.92,1.78,0.03,0.51,6.24,1
Shooter,4.05,1.62,0.07,0.49,6.24,1
Shooter,3.54,1.9,0.07,0.6,6.11,1
Action,2.45,2.01,0.87,0.72,6.05,0
Platform,4.47,1.2,0.16000000000000003,0.19,6.03,2
Action,2.63,1.74,0.8299999999999998,0.83,6.03,0
Action,3.1799999999999997,1.83,0.78,0.24000000000000002,6.03,0
Action,2.41,2.2800000000000002,0.28,1.0100000000000002,5.99,0
Role-Playing,1.88,0.0,2.33,1.7399999999999998,5.95,1
Platform,2.8,2.05,0.17,0.9,5.92,2
Role-Playing,0.66,0.69,4.35,0.15,5.84,1
Action,3.66,1.63,0.0,0.53,5.83,0
Action,1.88,1.47,2.02,0.44999999999999996,5.82,0
Fighting,2.26,1.89,1.36,0.23,5.74,0
Simulation,3.13,1.94,0.07,0.58,5.72,1
Shooter,2.49,2.05,0.16000000000000003,0.96,5.65,1
Puzzle,2.9699999999999998,0.69,1.81,0.11,5.58,2
Action,2.54,1.95,0.21,0.8699999999999999,5.57,0
Fighting,2.95,0.6,1.9700000000000002,0.04,5.55,0
Adventure,3.2799999999999994,1.65,0.07,0.55,5.55,0
Action,2.7,1.91,0.11,0.8,5.53,0
Racing,2.99,1.92,0.1,0.51,5.51,2
Role-Playing,0.47,0.57,4.13,0.34,5.5,1
Platform,3.1399999999999997,1.24,0.91,0.2,5.49,2
Racing,2.62,1.64,0.9899999999999999,0.23,5.47,2
Platform,3.21,1.11,0.95,0.2,5.46,2
Strategy,3.1799999999999997,1.24,0.94,0.09,5.45,1
Shooter,2.7199999999999998,1.87,0.0,0.8400000000000001,5.43,1
Platform,2.07,2.29,0.24,0.82,5.42,2
Misc,1.9700000000000002,2.51,0.0,0.94,5.42,2
Role-Playing,1.74,1.24,1.87,0.52,5.36,1
Puzzle,2.18,0.96,2.0,0.2,5.34,2
Misc,3.0199999999999996,1.12,1.01,0.15999999999999998,5.31,2
Action,3.13,1.71,0.03,0.44,5.3,0
Role-Playing,1.62,0.77,2.78,0.14,5.3,1
Role-Playing,1.92,1.08,2.11,0.17,5.29,1
Platform,3.33,0.79,1.09,0.06,5.27,2
Action,3.0999999999999996,1.56,0.08,0.51,5.27,0
Puzzle,1.22,2.4800000000000004,1.03,0.52,5.26,2
Action,2.3,2.46,0.2,0.28,5.24,0
Role-Playing,0.65,0.75,3.61,0.2,5.21,1
Role-Playing,2.4299999999999997,2.1500000000000004,0.0,0.62,5.2,1
Platform,2.9299999999999997,1.25,0.8299999999999998,0.2,5.2,2
Platform,2.3199999999999994,1.3,1.27,0.31,5.19,2
Platform,2.49,0.98,1.57,0.15,5.19,2
Action,1.08,3.4800000000000004,0.03,0.58,5.18,0
Action,1.9,1.83,0.95,0.49,5.17,0
Platform,2.1,0.74,2.2,0.11,5.15,2
Simulation,0.96,2.02,1.89,0.28,5.15,1
Sports,1.64,2.4800000000000004,0.44000000000000006,0.58,5.14,1
Shooter,1.9799999999999998,2.2300000000000004,0.13,0.8,5.13,1
Platform,2.71,0.61,1.7,0.11,5.13,2
Role-Playing,3.59,1.11,0.05,0.38,5.13,1
Shooter,3.21,1.53,0.009999999999999995,0.38,5.13,1
Simulation,3.2199999999999998,1.69,0.0,0.2,5.12,1
Misc,3.8099999999999996,0.63,0.0,0.68,5.12,2
Action,1.96,1.43,1.08,0.65,5.11,0
Action,2.66,2.01,0.0,0.41,5.08,0
Action,1.7,2.02,0.16000000000000003,1.21,5.08,0
Sports,0.6,3.29,0.06,1.13,5.08,1
Platform,3.3999999999999995,1.3,0.15,0.22,5.07,2
Action,2.05,1.16,1.11,0.73,5.05,0
Sports,3.42,1.38,0.020000000000000004,0.2,5.02,1
Fighting,2.59,1.06,0.8,0.57,5.02,0
Strategy,2.79,1.89,0.0,0.33,5.01,1
Platform,3.3599999999999994,1.36,0.07,0.21,5.0,2
Shooter,3.0599999999999996,1.18,0.29,0.46,5.0,1
Misc,3.49,0.010000000000000009,0.009999999999999995,1.48,4.98,2
Role-Playing,3.3899999999999997,1.03,0.09,0.44,4.96,1
Role-Playing,1.85,1.2,1.54,0.37,4.96,1
Action,2.3099999999999996,1.73,0.12,0.78,4.94,0
Sports,3.9799999999999995,0.26,0.009999999999999995,0.66,4.91,1
Action,2.8899999999999997,1.54,0.0,0.46,4.9,0
Racing,2.91,0.99,0.8899999999999999,0.1,4.88,2
Role-Playing,0.0,0.0,4.87,6.938893903907228e-18,4.87,1
Puzzle,2.62,0.6,1.5199999999999998,0.1,4.85,2
Action,2.74,1.36,0.12,0.63,4.84,0
Strategy,2.5599999999999996,1.68,0.0,0.59,4.83,1
Adventure,1.91,2.0,0.09,0.83,4.83,0
Sports,0.57,3.1400000000000006,0.04,1.07,4.82,1
Racing,2.5699999999999994,1.57,0.44000000000000006,0.21,4.79,2
Sports,0.28,3.75,0.06,0.69,4.77,1
Action,2.99,1.31,0.04,0.41,4.76,0
Action,2.3599999999999994,2.1,0.020000000000000004,0.25,4.73,0
Racing,1.73,2.1900000000000004,0.0,0.79,4.7,2
Sports,3.05,1.41,0.020000000000000004,0.2,4.68,1
Simulation,1.87,1.12,1.32,0.37,4.68,1
Action,1.94,1.95,0.08,0.7,4.67,0
Racing,2.08,2.04,0.06,0.47,4.64,2
Action,2.29,1.97,0.13,0.24000000000000002,4.63,0
Misc,3.0599999999999996,1.12,0.0,0.44,4.62,2
Action,2.42,0.91,1.15,0.13,4.61,0
Action,2.5999999999999996,0.99,0.8899999999999999,0.13,4.6,0
Sports,1.89,1.99,0.22,0.4799999999999999,4.58,1
Action,1.78,1.39,1.1,0.3,4.58,0
Shooter,1.55,1.15,1.44,0.42999999999999994,4.57,1
Action,1.78,1.87,0.07,0.82,4.55,0
Misc,3.1899999999999995,0.92,0.009999999999999995,0.42,4.530000000000001,2
Sports,4.18,0.26,0.009999999999999995,0.08,4.530000000000001,1
Platform,4.21,0.24,0.0,0.05,4.5,2
Sports,3.630000000000001,0.24,0.009999999999999995,0.61,4.49,1
Action,2.71,1.51,0.03,0.23,4.48,0
Role-Playing,0.2,0.14,4.1,0.020000000000000004,4.47,1
Action,1.96,1.69,0.08,0.74,4.47,0
Shooter,1.54,1.94,0.19,0.77,4.45,1
Action,2.71,1.29,0.020000000000000004,0.42999999999999994,4.45,0
Misc,2.55,1.11,0.4600000000000001,0.33,4.44,2
Misc,2.67,1.35,0.009999999999999995,0.39,4.42,2
Sports,2.66,1.29,0.009999999999999995,0.46,4.41,1
Sports,0.1,2.3900000000000006,1.0499999999999998,0.86,4.39,1
Role-Playing,2.8199999999999994,1.05,0.13,0.4,4.39,1
Adventure,2.19,0.5,1.61,0.08,4.38,0
Racing,2.0300000000000002,1.79,0.08,0.47,4.370000000000001,2
Shooter,1.73,1.73,0.14,0.75,4.35,1
Platform,3.0299999999999994,0.91,0.26,0.13,4.34,2
Role-Playing,2.2,0.58,1.38,0.17,4.33,1
Sports,0.92,2.9300000000000006,0.009999999999999995,0.46,4.31,1
Shooter,2.75,1.18,0.0,0.37,4.31,1
Shooter,4.0,0.26,0.0,0.05,4.31,1
Role-Playing,2.51,1.27,0.11,0.41,4.31,1
Shooter,2.6399999999999997,1.2,0.03,0.39,4.26,1
Platform,2.11,1.11,0.72,0.3,4.25,2
Action,2.23,1.34,0.07,0.61,4.25,0
Action,1.41,2.02,0.1,0.72,4.24,0
Misc,3.0,1.11,0.05,0.07,4.24,2
Action,1.46,0.0,0.8299999999999998,1.9299999999999997,4.23,0
Platform,2.45,1.02,0.0,0.75,4.220000000000001,2
Strategy,1.7,2.2700000000000005,0.0,0.23,4.210000000000001,1
Action,2.0300000000000002,1.27,0.62,0.3,4.210000000000001,0
Sports,0.78,2.55,0.04,0.8400000000000001,4.210000000000001,1
Misc,0.88,2.3,0.2,0.83,4.2,2
Shooter,1.3,2.07,0.18,0.65,4.2,1
Racing,1.28,1.83,0.57,0.53,4.2,2
Action,2.25,1.47,0.04,0.42999999999999994,4.19,0
Fighting,2.0199999999999996,1.06,0.58,0.53,4.19,0
Sports,0.84,2.79,0.020000000000000004,0.53,4.19,1
Action,3.38,0.44,0.31,0.04,4.17,0
Racing,2.04,0.48,1.57,0.07,4.160000000000001,2
Action,3.79,0.27,0.0,0.11,4.160000000000001,0
Sports,3.3599999999999994,0.21,0.009999999999999995,0.56,4.14,1
Action,1.4,1.86,0.11,0.77,4.14,0
Shooter,4.03,0.0,0.09,6.938893903907228e-18,4.12,1
Platform,1.65,0.61,1.76,0.09,4.12,2
Sports,0.71,2.4800000000000004,0.03,0.89,4.11,1
Action,2.14,1.2,0.37,0.4,4.1,0
Fighting,1.42,0.51,2.1,0.07,4.1,0
Misc,2.13,1.5,0.05,0.42,4.1,2
Role-Playing,2.45,1.26,0.009999999999999995,0.37,4.09,1
Role-Playing,2.5699999999999994,1.52,0.0,6.938893903907228e-18,4.09,1
Role-Playing,2.6499999999999995,1.06,0.04,0.33,4.08,1
Action,2.3199999999999994,0.04000000000000001,0.04,1.6699999999999997,4.07,0
Racing,2.3499999999999996,1.28,0.03,0.41,4.0600000000000005,2
Sports,0.12,2.26,0.9,0.77,4.0600000000000005,1
Misc,2.2799999999999994,1.55,0.16000000000000003,0.06,4.050000000000001,2
Fighting,1.68,1.51,0.51,0.35,4.050000000000001,0
Shooter,1.12,2.12,0.1,0.69,4.03,1
Shooter,2.7799999999999994,0.58,0.64,0.04,4.03,1
Misc,1.38,1.87,0.12,0.65,4.02,2
Sports,1.22,0.28,2.46,0.04,4.01,1
Role-Playing,2.15,1.2,0.07,0.59,4.01,1
Puzzle,0.92,1.78,0.9200000000000002,0.37,4.000000000000001,2
Shooter,2.67,0.89,0.05,0.37,3.9900000000000007,1
Misc,2.08,1.35,0.0,0.54,3.98,2
Sports,2.1,1.36,0.06,0.4,3.92,1
Action,1.18,1.96,0.08,0.7,3.92,0
Platform,1.9700000000000002,0.76,1.07,0.11,3.91,2
Sports,2.29,1.17,0.009999999999999995,0.42,3.9,1
Action,1.33,1.71,0.13,0.73,3.89,0
Role-Playing,0.67,0.49,2.62,0.11,3.89,1
Racing,1.53,1.61,0.06,0.67,3.8799999999999994,2
Role-Playing,1.15,2.09,0.0,0.64,3.8799999999999994,1
Fighting,0.93,1.94,0.31,0.7,3.87,0
Role-Playing,0.1,0.0,3.7699999999999996,6.938893903907228e-18,3.87,1
Sports,2.12,1.1400000000000001,0.1,0.51,3.87,1
Sports,2.4799999999999995,0.65,0.03,0.69,3.8499999999999996,1
Sports,0.16000000000000003,1.89,1.12,0.68,3.8499999999999996,1
Misc,0.87,1.57,1.0499999999999998,0.35,3.8400000000000003,2
Misc,2.12,1.44,0.22,0.06,3.8400000000000003,2
Action,2.21,0.96,0.5399999999999999,0.13,3.8299999999999996,0
Role-Playing,2.26,0.48,0.81,0.27,3.8299999999999996,1
Misc,1.06,1.93,0.4099999999999999,0.42999999999999994,3.82,2
Simulation,1.44,1.37,0.7299999999999999,0.27,3.8100000000000005,1
Action,1.49,1.58,0.1,0.61,3.79,0
Sports,1.14,1.91,0.27,0.46,3.78,1
Action,2.3999999999999995,1.03,0.0,0.36,3.78,0
Action,1.82,1.24,0.47,0.25,3.77,0
Platform,1.4,1.4,0.1,0.8699999999999999,3.77,2
Misc,1.9799999999999998,1.47,0.0,0.32,3.76,2
Simulation,2.0300000000000002,1.56,0.0,0.17,3.76,1
Platform,1.9799999999999998,0.88,0.59,0.32,3.76,2
Action,1.37,2.0,0.14,0.22,3.73,0
Role-Playing,0.96,2.0,0.21,0.56,3.73,1
Action,1.3,0.77,1.54,0.11,3.72,0
Platform,1.9299999999999997,1.58,0.0,0.19,3.71,2
Sports,0.58,2.4800000000000004,0.04,0.59,3.7,1
Strategy,1.49,0.73,1.38,0.1,3.7,1
Shooter,1.3,1.51,0.27,0.61,3.69,1
Simulation,1.59,1.61,0.08,0.41,3.69,1
Misc,0.0,0.0,3.67,6.938893903907228e-18,3.67,2
Sports,2.13,1.18,0.009999999999999995,0.35,3.67,1
Racing,1.65,1.22,0.0,0.79,3.66,2
Platform,1.87,1.13,0.55,0.1,3.65,2
Shooter,2.5299999999999994,0.81,0.06,0.24000000000000002,3.65,1
Misc,2.33,0.97,0.0,0.35,3.65,2
Racing,0.71,1.8,0.4,0.74,3.64,2
Platform,2.08,1.09,0.15,0.33,3.64,2
Simulation,2.23,0.68,0.66,0.06,3.63,1
Sports,0.6,2.46,0.05,0.52,3.63,1
Sports,0.04999999999999999,0.0,0.64,2.93,3.63,1
Shooter,1.78,1.42,0.05,0.38,3.63,1
Action,2.08,0.83,0.4600000000000001,0.25,3.62,0
Shooter,1.28,1.61,0.15,0.57,3.61,1
Shooter,1.9299999999999997,1.22,0.03,0.44,3.61,1
Shooter,2.05,1.4,0.0,0.15999999999999998,3.61,1
Racing,2.0199999999999996,1.17,0.0,0.42,3.61,2
Simulation,1.61,1.5,0.1,0.39,3.61,1
Action,2.38,0.6699999999999999,0.4600000000000001,0.1,3.6,0
Shooter,2.18,1.02,0.03,0.37,3.59,1
Fighting,2.01,1.35,0.06,0.15999999999999998,3.58,0
Platform,1.57,1.79,0.0,0.2,3.56,2
Action,1.56,1.4,0.07,0.5,3.54,0
Action,1.23,1.77,0.05,0.49,3.54,0
Action,1.66,1.58,0.12,0.18,3.54,0
Shooter,1.9,1.13,0.1,0.41,3.53,1
Action,1.9799999999999998,1.1400000000000001,0.009999999999999995,0.41,3.53,0
Shooter,2.14,1.08,0.020000000000000004,0.29,3.53,1
Sports,0.71,2.4000000000000004,0.020000000000000004,0.4,3.53,1
Action,1.96,1.33,0.0,0.23,3.52,0
Platform,2.14,1.21,0.009999999999999995,0.17,3.52,2
Shooter,2.66,0.5,0.05,0.3,3.52,1
Sports,1.22,1.66,0.27,0.38,3.52,1
Action,2.11,0.94,0.12,0.34,3.51,0
Platform,1.17,0.5,1.75,0.08,3.51,2
Action,2.84,0.39,0.03,0.24000000000000002,3.5,0
Action,1.64,0.38,1.42,0.06,3.5,0
Action,2.2,0.97,0.020000000000000004,0.31,3.5,0
Misc,0.59,1.83,0.7299999999999999,0.35,3.5,2
Shooter,1.94,1.22,0.020000000000000004,0.31,3.49,1
Shooter,2.09,1.02,0.04,0.32,3.48,1
Misc,2.11,1.01,0.009999999999999995,0.35,3.48,2
Action,2.26,0.89,0.0,0.3,3.46,0
Shooter,0.88,1.75,0.1,0.72,3.45,1
Role-Playing,0.0,0.0,3.4400000000000004,6.938893903907228e-18,3.44,1
Shooter,2.3899999999999997,0.73,0.03,0.29,3.44,1
Fighting,1.55,1.27,0.33000000000000007,0.29,3.44,0
Shooter,1.34,1.54,0.17,0.38,3.43,1
Platform,1.82,1.07,0.06,0.47,3.42,2
Action,1.13,2.07,0.0,0.22,3.42,0
Role-Playing,0.86,0.0,2.55,0.020000000000000004,3.42,1
Action,1.75,1.2,0.020000000000000004,0.42999999999999994,3.41,0
Racing,1.73,0.69,0.59,0.4,3.41,2
Sports,0.46,2.2800000000000002,0.05,0.61,3.4,1
Misc,1.56,1.47,0.19,0.17,3.39,2
Action,2.0300000000000002,1.03,0.0,0.32,3.38,0
Action,1.08,1.35,0.48,0.47,3.38,0
Action,1.43,0.94,0.74,0.27,3.38,0
Fighting,2.4699999999999998,0.76,0.0,0.13,3.36,0
Action,1.9,0.6699999999999999,0.7299999999999999,0.06,3.36,0
Puzzle,0.65,1.61,0.82,0.28,3.36,2
Adventure,1.63,1.53,0.0,0.18,3.34,0
Action,1.9,1.1400000000000001,0.009999999999999995,0.29,3.34,0
Misc,0.0,0.99,2.32,0.020000000000000004,3.33,2
Shooter,1.45,1.29,0.12,0.46,3.33,1
Platform,1.44,1.01,0.57,0.3,3.33,2
Misc,1.15,1.17,0.7599999999999999,0.24000000000000002,3.32,2
Action,1.47,1.39,0.03,0.42999999999999994,3.32,0
Shooter,1.99,1.05,0.05,0.22,3.31,1
Action,1.5,1.28,0.05,0.46,3.28,0
Action,0.8,1.92,0.06,0.5,3.28,0
Shooter,2.13,0.92,0.0,0.23,3.28,1
Action,1.89,1.05,0.020000000000000004,0.31,3.27,0
Misc,1.36,1.13,0.4600000000000001,0.32,3.27,2
Racing,0.5,1.59,0.31,0.8699999999999999,3.27,2
Action,0.25,0.19,2.78,0.04,3.26,0
Fighting,0.95,1.3,0.77,0.22,3.24,0
Sports,0.88,2.11,0.0,0.23,3.23,1
Adventure,1.27,1.33,0.12,0.51,3.23,0
Sports,2.33,0.3,0.0,0.59,3.22,1
Role-Playing,0.02999999999999997,0.0,3.1799999999999997,6.938893903907228e-18,3.22,1
Shooter,1.72,1.33,0.0,0.15999999999999998,3.21,1
Sports,0.73,0.1,2.35,0.020000000000000004,3.2,1
Fighting,2.26,0.72,0.12,0.1,3.2,0
Fighting,1.76,1.21,0.07,0.15999999999999998,3.2,0
Role-Playing,1.35,0.6,0.8,0.44,3.19,1
Action,1.48,1.01,0.04,0.66,3.19,0
Role-Playing,0.0,0.0,3.19,6.938893903907228e-18,3.19,1
Misc,2.15,0.77,0.009999999999999995,0.26,3.19,2
Action,1.78,1.12,0.09,0.19,3.18,0
Platform,1.18,0.87,0.93,0.2,3.18,2
Role-Playing,1.52,1.08,0.1,0.47,3.17,1
Misc,0.58,0.51,1.93,0.14,3.17,2
Simulation,2.0600000000000005,0.56,0.38,0.17,3.17,1
Adventure,1.88,0.98,0.0,0.3,3.16,0
Simulation,1.92,0.16,0.9899999999999999,0.09,3.15,1
Action,1.79,1.06,0.0,0.29,3.15,0
Platform,1.22,1.57,0.06,0.29,3.15,2
Shooter,0.88,0.97,0.88,0.42,3.15,1
Shooter,1.89,0.99,0.03,0.24000000000000002,3.15,1
Sports,0.6800000000000002,0.0,0.0,2.46,3.14,1
Action,1.7,1.25,0.020000000000000004,0.15999999999999998,3.13,0
Racing,2.14,0.86,0.0,0.13,3.12,2
Racing,2.3099999999999996,0.62,0.14,0.04,3.12,2
Misc,0.91,1.0,1.03,0.17,3.12,2
Role-Playing,1.69,0.87,0.14,0.42,3.12,1
Role-Playing,0.08000000000000002,0.0,3.03,0.010000000000000002,3.12,1
Adventure,1.29,1.27,0.06,0.5,3.12,0
Role-Playing,1.99,0.82,0.03,0.27,3.11,1
Sports,0.78,2.02,0.0,0.3,3.11,1
Fighting,2.17,0.28,0.55,0.08,3.09,0
Sports,2.5,0.16,0.009999999999999995,0.42,3.08,1
Sports,1.92,0.45,0.64,0.07,3.08,1
Shooter,1.89,0.91,0.04,0.24000000000000002,3.07,1
Action,1.4,0.99,0.4600000000000001,0.22,3.07,0
Platform,1.57,0.62,0.55,0.34,3.07,2
Simulation,1.72,1.21,0.0,0.14,3.07,1
Role-Playing,1.94,0.86,0.03,0.24000000000000002,3.07,1
Action,1.91,0.84,0.0,0.29,3.05,0
Shooter,1.38,1.35,0.020000000000000004,0.28,3.04,1
Platform,2.0600000000000005,0.64,0.12,0.22,3.04,2
Action,1.94,0.8,0.020000000000000004,0.27,3.03,0
Platform,1.54,1.33,0.0,0.15999999999999998,3.03,2
Shooter,1.4,1.07,0.08,0.47,3.02,1
Action,1.85,1.04,0.0,0.13,3.02,0
Fighting,2.0300000000000002,0.47,0.45000000000000007,0.07,3.02,0
